Time (hrs),Unit 1,Unit 2,Unit 3,Unit 4,Unit 5,Unit 6,Unit 7,Unit 8,Unit 9,Unit 10,Unit 11,Unit 12,Unit 13,Unit 14,Unit 15,Unit 16,Unit 17,Unit 18,Unit 19,Unit 20,Unit 21,Unit 22,Unit 23,Unit 24,Unit 25,Unit 26,Unit 27,Unit 28,Unit 29,Unit 30,Unit 31,Unit 32,Unit 33,Unit 34,Unit 35,Unit 36,Unit 37,Unit 38,Unit 39,Unit 40,Unit 41,Unit 42,Unit 43,Unit 44,Unit 45,Unit 46,Unit 47,Unit 48,Unit 49,Unit 50,Unit 51,Unit 52,Unit 53,Unit 54,Unit 55,Unit 56,Unit 57,Unit 58,Unit 59,Unit 60,Unit 61,Unit 62,Unit 63,Unit 64,Unit 65,Unit 66,Unit 67,Unit 68,Unit 69,Unit 70,Unit 71,Unit 72,Unit 73,Unit 74,Unit 75
336,0.9704,0.9081,0.9483,0.9171,0.9872,1.0151,0.9814,0.9642,0.9262,0.9532,1.0055,0.9793,0.968,0.9284,0.9824,0.9396,0.9439,0.9512,0.9553,0.9747,0.9663,0.9749,0.9289,0.9704,0.9993,0.9538,0.9746,0.9007,0.9188,0.916,0.9361,0.9206,0.9015,0.9112,0.8681,0.906,0.9176,0.9258,0.9281,0.9472,0.9805,0.9307,0.9736,0.9069,0.9029,0.9696,0.9244,0.9608,0.9175,0.8887,0.9104,0.7385,0.7912,0.8984,0.8754,0.8949,0.7856,0.8267,0.7953,0.8985,0.8844,0.9382,0.9029,0.8442,0.874,0.8505,0.9508,0.8493,0.6145,0.8559,0.9502,0.8971,0.8144,0.8649,0.794
672,0.9439,0.8351,0.9485,0.8832,0.9688,0.9798,0.9571,0.9784,0.903,0.945,0.9882,0.9648,0.9883,0.936,0.9408,0.93,0.9076,0.9025,0.9248,0.9998,0.9591,0.9402,0.9488,0.9343,0.9749,0.8857,0.9047,0.8384,0.9049,0.8673,0.9166,0.8548,0.8415,0.8941,0.833,0.873,0.8979,0.8431,0.8747,0.9134,0.9495,0.9119,0.9178,0.8994,0.8356,0.9159,0.8951,0.9474,0.8975,0.8853,0.8549,0.6122,0.7257,0.8616,0.8214,0.8067,0.7681,0.7318,0.7409,0.8275,0.8511,0.8322,0.8382,0.717,0.7895,0.794,0.8582,0.7966,0.5373,0.7804,0.8723,0.7984,0.7456,0.803,0.6921
1008,0.9614,0.8663,0.9348,0.8893,0.9264,0.9834,0.9439,0.9514,0.8627,0.9524,0.9329,0.9585,0.9527,0.9198,0.9302,0.8748,0.927,0.9082,0.9177,0.9803,0.9276,0.9104,0.8989,0.9191,0.9602,0.8879,0.9069,0.8052,0.8478,0.842,0.8854,0.8073,0.8061,0.8807,0.7971,0.8442,0.8885,0.8224,0.82,0.9101,0.8727,0.8924,0.9454,0.8854,0.7955,0.8919,0.872,0.9184,0.8475,0.8347,0.8196,0.597,0.6741,0.8123,0.7701,0.7586,0.7341,0.6397,0.6774,0.7711,0.8251,0.8188,0.8111,0.6734,0.7407,0.7928,0.8583,0.7428,0.4958,0.7333,0.8175,0.7122,0.6705,0.789,0.6009
1344,0.9008,0.8183,0.9193,0.8805,0.9547,0.9678,0.9761,0.899,0.8498,0.9275,0.9453,0.9705,0.9343,0.8853,0.9065,0.8764,0.9279,0.8931,0.9134,0.9429,0.9195,0.8834,0.8783,0.8936,0.9905,0.8635,0.8565,0.7848,0.8298,0.7947,0.8668,0.8268,0.7869,0.8132,0.7653,0.8164,0.8314,0.7848,0.833,0.9281,0.8615,0.8844,0.8924,0.8407,0.7202,0.8939,0.8365,0.9124,0.8739,0.7993,0.7986,0.5503,0.6302,0.7894,0.719,0.7449,0.6872,0.5905,0.6299,0.7598,0.7538,0.7745,0.8024,0.5946,0.7036,0.707,0.8001,0.7163,0.5025,0.6581,0.8097,0.6745,0.6525,0.7529,0.5858
1680,0.9273,0.8304,0.8926,0.8388,0.9385,0.9219,0.948,0.9057,0.8833,0.9125,0.9809,0.9489,0.964,0.9004,0.8852,0.8696,0.9023,0.8591,0.8928,0.907,0.9087,0.8982,0.8782,0.8613,0.9885,0.835,0.8756,0.7602,0.7993,0.7484,0.8797,0.7538,0.7553,0.8032,0.7253,0.7788,0.8411,0.7827,0.803,0.8616,0.8106,0.8849,0.8728,0.8707,0.7383,0.8384,0.827,0.9013,0.8037,0.7703,0.7731,0.4778,0.5822,0.7334,0.7423,0.6984,0.6364,0.5557,0.6014,0.7352,0.7633,0.7398,0.7742,0.5535,0.683,0.6747,0.7899,0.6666,0.4421,0.6449,0.784,0.6723,0.5796,0.7178,0.5901
2016,0.8753,0.7983,0.8888,0.8706,0.9248,0.9269,0.9572,0.9144,0.8309,0.91,0.9303,0.9629,0.9502,0.8572,0.8691,0.8686,0.8999,0.8387,0.8844,0.9328,0.883,0.8892,0.8369,0.8632,0.9259,0.8165,0.8705,0.7467,0.8238,0.7784,0.8586,0.7376,0.728,0.7617,0.722,0.7566,0.8232,0.7528,0.7785,0.8798,0.8191,0.8341,0.8642,0.8501,0.7216,0.8568,0.7967,0.891,0.7845,0.7922,0.7795,0.4806,0.5711,0.7381,0.6691,0.671,0.646,0.5136,0.5775,0.6577,0.7779,0.7342,0.7243,0.5023,0.62,0.6831,0.7506,0.653,0.4341,0.5878,0.7357,0.618,0.5267,0.6906,0.5289
2352,0.8793,0.798,0.8957,0.812,0.9276,0.9147,0.9457,0.9181,0.8339,0.8961,0.9472,0.9511,0.9273,0.8778,0.858,0.8597,0.8764,0.8372,0.8851,0.9241,0.8881,0.8509,0.8019,0.8689,0.9548,0.8034,0.8514,0.7382,0.7612,0.7621,0.8136,0.72,0.7525,0.7555,0.6975,0.7341,0.8285,0.7314,0.7393,0.868,0.8308,0.818,0.8584,0.8293,0.6717,0.8067,0.7658,0.8973,0.789,0.7174,0.731,0.491,0.5672,0.6725,0.6556,0.637,0.6013,0.4839,0.5478,0.6235,0.7187,0.6712,0.7229,0.4847,0.6149,0.6554,0.7327,0.5959,0.4132,0.5416,0.7231,0.5937,0.4844,0.7052,0.5178
2688,0.9106,0.7888,0.8518,0.8432,0.9221,0.9308,0.9331,0.9058,0.8048,0.8845,0.9182,0.9441,0.9469,0.8819,0.8477,0.823,0.8811,0.8339,0.867,0.9212,0.8677,0.8627,0.8284,0.818,1.012,0.7824,0.8491,0.7196,0.7867,0.7083,0.7988,0.7069,0.7047,0.739,0.6596,0.7424,0.7765,0.7105,0.7594,0.8425,0.7938,0.8227,0.8556,0.7937,0.6784,0.8226,0.7436,0.8818,0.7422,0.7275,0.7287,0.4485,0.5304,0.6534,0.6257,0.6232,0.6038,0.4414,0.4922,0.6204,0.7078,0.6561,0.6894,0.4741,0.6079,0.6525,0.7074,0.5728,0.3794,0.5313,0.6817,0.5902,0.4736,0.6907,0.471
3024,0.8572,0.7656,0.8511,0.817,0.8826,0.8963,0.9425,0.8976,0.8265,0.8623,0.9169,0.9591,0.9442,0.8798,0.8265,0.7958,0.8534,0.8409,0.8568,0.8968,0.8423,0.8387,0.783,0.8221,0.9959,0.7959,0.8538,0.7376,0.7578,0.7095,0.773,0.6831,0.6601,0.6933,0.6404,0.7206,0.7849,0.7184,0.7479,0.8586,0.7408,0.7901,0.8126,0.8077,0.6716,0.7818,0.7186,0.8768,0.7517,0.7079,0.6932,0.4641,0.5268,0.6556,0.5835,0.6174,0.5715,0.4323,0.5253,0.6084,0.7034,0.6404,0.6999,0.4335,0.5681,0.5911,0.7094,0.5987,0.4095,0.528,0.6684,0.5388,0.4533,0.6452,0.4715
3360,0.8572,0.7768,0.8631,0.775,0.9039,0.9205,0.9464,0.8881,0.7952,0.8457,0.8807,0.9844,0.9038,0.8555,0.8172,0.8114,0.8604,0.8021,0.8416,0.9257,0.8279,0.8366,0.793,0.8006,0.9426,0.7761,0.8469,0.6713,0.741,0.7079,0.7617,0.6884,0.6715,0.6727,0.6391,0.6816,0.773,0.7103,0.7053,0.8213,0.7513,0.7922,0.8183,0.791,0.6375,0.7671,0.6744,0.8697,0.7408,0.696,0.7082,0.4258,0.4963,0.6115,0.5487,0.6096,0.5487,0.411,0.4009,0.5994,0.6899,0.6176,0.7191,0.4073,0.5767,0.5982,0.6947,0.5702,0.3849,0.4927,0.6865,0.5296,0.4392,0.6377,0.4289
3696,0.8698,0.7544,0.8463,0.8072,0.8799,0.9145,0.9178,0.8955,0.8049,0.8876,0.9132,0.9389,0.9254,0.8307,0.8378,0.8093,0.8426,0.7951,0.8449,0.9068,0.8082,0.7974,0.8194,0.8135,0.9428,0.7572,0.8209,0.6543,0.7223,0.687,0.7633,0.6452,0.6274,0.7232,0.6497,0.668,0.7314,0.6643,0.6837,0.8235,0.7119,0.8062,0.8076,0.7656,0.6106,0.7385,0.7089,0.8519,0.7132,0.6881,0.6763,0.4084,0.4973,0.6223,0.5885,0.5623,0.5495,0.3864,0.4826,0.5446,0.6303,0.6007,0.6747,0.3957,0.5587,0.5749,0.6458,0.5524,0.3545,0.4449,0.651,0.4828,0.4034,0.629,0.3967
4032,0.8369,0.737,0.8594,0.8003,0.8552,0.9076,0.9152,0.8568,0.8164,0.8537,0.9089,0.9131,0.9236,0.8201,0.7898,0.7928,0.8693,0.7557,0.8295,0.9085,0.8001,0.7907,0.7791,0.756,0.9442,0.7451,0.8035,0.6683,0.7104,0.6837,0.744,0.6359,0.6307,0.6827,0.6129,0.6475,0.7568,0.7001,0.662,0.8135,0.7077,0.7608,0.8116,0.7721,0.6211,0.7409,0.6559,0.8492,0.7128,0.6821,0.6632,0.3677,0.4905,0.6195,0.5781,0.5607,0.5263,0.3693,0.4571,0.5527,0.656,0.5717,0.674,0.3927,0.5304,0.5813,0.6448,0.52,0.3589,0.4608,0.6115,0.4626,0.3674,0.6407,0.4025
4368,0.839,0.7056,0.8282,0.7571,0.872,0.8913,0.891,0.8756,0.7855,0.8735,0.8994,0.9459,0.8951,0.8008,0.7646,0.7926,0.832,0.7804,0.8552,0.9189,0.7993,0.7978,0.769,0.7617,0.9278,0.7203,0.7894,0.661,0.6849,0.6906,0.7436,0.6147,0.616,0.6646,0.6219,0.6626,0.7227,0.668,0.6536,0.7957,0.6807,0.7361,0.7923,0.7489,0.5874,0.7531,0.6543,0.8359,0.7042,0.6639,0.6797,0.3922,0.4474,0.5819,0.5627,0.5213,0.502,0.3582,0.4824,0.5453,0.6188,0.5758,0.6492,0.42,0.5439,0.5619,0.6419,0.5435,0.3539,0.4597,0.6169,0.4595,0.3994,0.6287,0.3832
4704,0.7949,0.7628,0.8518,0.793,0.8824,0.9049,0.8874,0.8335,0.7949,0.8481,0.9243,0.912,0.889,0.7932,0.7585,0.7966,0.8337,0.8041,0.8415,0.9304,0.796,0.7795,0.7887,0.7449,0.939,0.7343,0.8028,0.6518,0.6829,0.6383,0.7432,0.6057,0.5953,0.6539,0.5998,0.6571,0.7404,0.6577,0.6591,0.8101,0.6985,0.7408,0.7752,0.7358,0.6204,0.7221,0.6565,0.8682,0.6824,0.6648,0.6347,0.4072,0.4795,0.5852,0.5561,0.5459,0.4993,0.3386,0.4643,0.5495,0.6156,0.5545,0.6182,0.3428,0.5154,0.57,0.6594,0.4803,0.3331,0.4121,0.6138,0.4695,0.3528,0.596,0.3647
5040,0.8113,0.7706,0.8619,0.7695,0.8706,0.9048,0.9114,0.8738,0.7963,0.8376,0.9235,0.9102,0.9286,0.8171,0.7643,0.7683,0.8538,0.7485,0.8188,0.8948,0.7993,0.7806,0.7537,0.7384,0.9604,0.7416,0.8189,0.5946,0.6805,0.6489,0.692,0.5857,0.6282,0.6487,0.5836,0.6187,0.7044,0.6323,0.618,0.7682,0.6929,0.7449,0.7601,0.7336,0.6251,0.72,0.6188,0.8278,0.6841,0.6463,0.6336,0.3789,0.4628,0.5654,0.5375,0.536,0.5245,0.3479,0.4651,0.4969,0.6447,0.5638,0.6199,0.3403,0.501,0.5378,0.6088,0.5002,0.3392,0.3538,0.573,0.4488,0.3698,0.5852,0.3412
5376,0.7658,0.73,0.8385,0.7768,0.8732,0.9052,0.8974,0.8392,0.7711,0.8466,0.8629,0.9349,0.8948,0.7942,0.7495,0.7573,0.8229,0.7813,0.7959,0.8694,0.7653,0.7971,0.7616,0.7381,0.962,0.7232,0.795,0.5995,0.648,0.6335,0.7011,0.5999,0.6057,0.6225,0.5922,0.6056,0.7257,0.631,0.6148,0.8219,0.681,0.725,0.7631,0.7444,0.5834,0.6628,0.6102,0.8459,0.662,0.6624,0.614,0.3364,0.4293,0.5556,0.5069,0.5091,0.5005,0.3208,0.4156,0.4782,0.6144,0.5183,0.6146,0.3058,0.5055,0.5314,0.6449,0.4812,0.3491,0.3984,0.5809,0.4622,0.3224,0.578,0.337
5712,0.8094,0.7047,0.8275,0.7662,0.8398,0.8567,0.886,0.8488,0.7762,0.8462,0.8932,0.9001,0.8967,0.7911,0.7784,0.7617,0.8292,0.7625,0.803,0.8713,0.7726,0.771,0.7365,0.7324,0.9385,0.7175,0.7934,0.6461,0.6765,0.6401,0.7079,0.5986,0.6032,0.5971,0.5598,0.5962,0.6816,0.6366,0.6065,0.758,0.642,0.7273,0.7427,0.7551,0.558,0.6499,0.5897,0.8097,0.6333,0.6235,0.62,0.3477,0.4203,0.5018,0.5163,0.5155,0.4887,0.2886,0.4138,0.4714,0.6041,0.4934,0.6164,0.3176,0.4382,0.5085,0.6055,0.4715,0.3564,0.374,0.5424,0.4273,0.3139,0.5836,0.3329
6048,0.761,0.7203,0.8128,0.758,0.8042,0.8589,0.892,0.8475,0.7731,0.8493,0.87,0.9202,0.8967,0.7989,0.7421,0.7527,0.7972,0.745,0.7811,0.8693,0.7273,0.786,0.7435,0.7098,0.9662,0.7079,0.7607,0.5982,0.6536,0.6185,0.6798,0.5848,0.5836,0.5939,0.5553,0.5948,0.659,0.6314,0.615,0.7728,0.6299,0.7223,0.7378,0.7348,0.5383,0.66,0.5977,0.8299,0.6477,0.6106,0.6346,0.3357,0.4108,0.492,0.4821,0.4854,0.4633,0.326,0.408,0.4325,0.6065,0.4877,0.5877,0.3174,0.4683,0.5025,0.6176,0.4848,0.334,0.3674,0.5726,0.4413,0.3288,0.5978,0.2989
6384,0.8047,0.7087,0.8097,0.7673,0.833,0.8652,0.8954,0.8399,0.7789,0.8864,0.8864,0.9245,0.8613,0.7796,0.7334,0.7693,0.7756,0.7379,0.8106,0.8846,0.7389,0.7614,0.7282,0.6991,0.9427,0.6831,0.7805,0.6403,0.6266,0.6086,0.6884,0.581,0.5712,0.6036,0.5628,0.5825,0.689,0.5921,0.5778,0.7671,0.5957,0.7112,0.7303,0.7058,0.5536,0.674,0.5834,0.8271,0.6164,0.6037,0.6151,0.3432,0.403,0.5262,0.5158,0.5105,0.49,0.2891,0.4079,0.4757,0.5725,0.4886,0.569,0.3046,0.4776,0.5067,0.5903,0.4692,0.3365,0.3121,0.5249,0.4103,0.2903,0.5479,0.3251
6720,0.7731,0.7201,0.7861,0.7431,0.841,0.8227,0.8627,0.8245,0.7492,0.8117,0.878,0.8824,0.9011,0.7698,0.7602,0.7524,0.8138,0.7479,0.8115,0.8828,0.7706,0.7561,0.7209,0.6862,0.9341,0.6873,0.7953,0.5903,0.6432,0.6284,0.6991,0.5579,0.5604,0.5822,0.5522,0.5748,0.6933,0.5797,0.5749,0.7522,0.5959,0.7159,0.7241,0.7402,0.5425,0.6439,0.5133,0.8066,0.5768,0.5941,0.6021,0.3374,0.393,0.5149,0.447,0.502,0.4351,0.2822,0.3972,0.4533,0.6134,0.4561,0.6056,0.2634,0.4162,0.4704,0.5559,0.4525,0.3147,0.3382,0.5188,0.4055,0.2954,0.5894,0.291
7056,0.7853,0.6961,0.7874,0.7128,0.8338,0.8514,0.881,0.8277,0.759,0.8426,0.8859,0.9066,0.9085,0.7615,0.6877,0.7267,0.7611,0.7087,0.7771,0.8691,0.7285,0.7569,0.732,0.6832,0.9641,0.6841,0.7665,0.6024,0.6116,0.6058,0.6514,0.5615,0.5776,0.5926,0.5569,0.5791,0.6551,0.5742,0.5506,0.7492,0.5931,0.7131,0.7266,0.73,0.5367,0.6474,0.5724,0.7816,0.5949,0.6069,0.5802,0.3347,0.4031,0.5185,0.482,0.4698,0.4728,0.2788,0.3787,0.4488,0.5801,0.5024,0.5918,0.28,0.4002,0.5011,0.5917,0.4542,0.3077,0.302,0.5138,0.4029,0.3176,0.5746,0.3306
7392,0.7681,0.7152,0.7777,0.7206,0.7922,0.8747,0.8649,0.8252,0.765,0.8161,0.8951,0.8965,0.8714,0.7541,0.6894,0.7321,0.8023,0.7304,0.7619,0.8595,0.7383,0.7193,0.7161,0.6799,0.942,0.6402,0.7694,0.6039,0.6314,0.5864,0.6647,0.5564,0.5537,0.5565,0.5149,0.5697,0.6678,0.6188,0.5814,0.6954,0.5875,0.7044,0.7006,0.6755,0.5196,0.6231,0.5622,0.8116,0.5992,0.576,0.5924,0.3225,0.3917,0.4782,0.4765,0.454,0.4357,0.2967,0.3737,0.4077,0.5572,0.4942,0.5547,0.2683,0.4228,0.4698,0.5753,0.4382,0.3127,0.3156,0.5437,0.3523,0.2804,0.5626,0.2717
7728,0.7555,0.718,0.7682,0.7443,0.8285,0.8787,0.8713,0.7972,0.7312,0.8507,0.8551,0.8741,0.8764,0.7751,0.6884,0.7517,0.7675,0.7106,0.7772,0.8774,0.7619,0.7152,0.6967,0.6793,0.94,0.632,0.7883,0.588,0.6283,0.5902,0.6346,0.5388,0.5072,0.5801,0.563,0.5594,0.6545,0.599,0.5499,0.7259,0.5757,0.6975,0.7192,0.7324,0.5405,0.6197,0.522,0.8116,0.5928,0.5619,0.5891,0.3356,0.3822,0.4976,0.4237,0.466,0.4616,0.2574,0.3835,0.432,0.559,0.4597,0.5653,0.2873,0.4363,0.4795,0.5581,0.4297,0.3276,0.3136,0.4987,0.3706,0.2365,0.5488,0.2597
8064,0.7531,0.6998,0.7684,0.7096,0.8066,0.8266,0.8476,0.8115,0.7449,0.7979,0.812,0.8891,0.9154,0.7297,0.6928,0.7239,0.7496,0.7047,0.7634,0.8671,0.7257,0.7585,0.7161,0.6618,0.9577,0.651,0.7481,0.5608,0.612,0.5605,0.6322,0.533,0.5384,0.536,0.5181,0.5437,0.6451,0.5704,0.5508,0.724,0.5574,0.6985,0.6688,0.6821,0.5271,0.6195,0.5357,0.8196,0.5832,0.6068,0.5722,0.311,0.4315,0.4709,0.4504,0.4418,0.4546,0.2627,0.3658,0.3936,0.5532,0.4293,0.5527,0.253,0.4172,0.4626,0.5782,0.4396,0.3157,0.2816,0.4715,0.3669,0.2263,0.5129,0.2716
8400,0.7574,0.6744,0.7575,0.7015,0.7927,0.8423,0.8712,0.7999,0.77,0.797,0.8884,0.8854,0.8654,0.7696,0.6598,0.7361,0.7691,0.7451,0.7625,0.8706,0.6993,0.7222,0.6929,0.6677,0.9106,0.6302,0.7405,0.565,0.6169,0.5582,0.6472,0.5321,0.5594,0.5339,0.5291,0.5221,0.6493,0.55,0.5244,0.7231,0.5571,0.656,0.7011,0.6698,0.5088,0.6161,0.5013,0.7968,0.5616,0.5855,0.5564,0.3154,0.3922,0.4801,0.4359,0.4569,0.425,0.2693,0.3527,0.4121,0.5488,0.4503,0.5514,0.2781,0.4242,0.4836,0.5449,0.3982,0.3285,0.2829,0.4526,0.3588,0.2667,0.5366,0.2629
8736,0.7496,0.7155,0.7683,0.7304,0.7643,0.8153,0.8605,0.806,0.7379,0.8015,0.8781,0.8846,0.8893,0.7431,0.669,0.7333,0.7479,0.6951,0.7516,0.8574,0.6865,0.7426,0.6862,0.6383,0.932,0.6468,0.7585,0.5609,0.6056,0.5479,0.6326,0.5286,0.5244,0.553,0.5307,0.5545,0.6496,0.5836,0.5398,0.7063,0.5662,0.6546,0.6771,0.6984,0.488,0.5959,0.5185,0.7922,0.5553,0.5635,0.5657,0.2915,0.3857,0.4414,0.4444,0.4084,0.4474,0.2438,0.3824,0.3674,0.568,0.395,0.5269,0.2377,0.4043,0.4392,0.5638,0.3894,0.2619,0.2807,0.465,0.3537,0.2606,0.5022,0.2721
9072,0.7396,0.7133,0.7549,0.7528,0.7922,0.8144,0.8333,0.817,0.7522,0.8069,0.8954,0.8784,0.8806,0.75,0.646,0.7256,0.7763,0.6821,0.7493,0.8484,0.695,0.7312,0.6807,0.6322,0.9289,0.6245,0.7227,0.5438,0.6249,0.5453,0.6207,0.5109,0.4867,0.5297,0.4851,0.5103,0.6219,0.5504,0.5417,0.714,0.5641,0.6585,0.6888,0.702,0.5294,0.5907,0.5052,0.8114,0.593,0.5563,0.556,0.2927,0.3552,0.4581,0.426,0.4218,0.4141,0.2095,0.3276,0.3698,0.5621,0.435,0.5182,0.2611,0.4212,0.416,0.5179,0.3884,0.2927,0.3013,0.4424,0.3401,0.2231,0.4777,0.2782
9408,0.7212,0.6708,0.7572,0.7133,0.8036,0.8105,0.8306,0.8162,0.71,0.8001,0.8601,0.8843,0.8515,0.7259,0.641,0.6974,0.7688,0.6842,0.7535,0.843,0.688,0.7244,0.6835,0.6252,0.958,0.6312,0.7514,0.5628,0.5763,0.5608,0.6364,0.5181,0.5078,0.5169,0.4901,0.5098,0.6388,0.5407,0.5265,0.6615,0.556,0.6555,0.6751,0.684,0.4964,0.5807,0.503,0.7717,0.5614,0.5331,0.524,0.3112,0.3718,0.4311,0.4342,0.4095,0.4162,0.2291,0.3602,0.3765,0.5264,0.4184,0.5413,0.2577,0.3846,0.4615,0.5373,0.4057,0.276,0.2791,0.4448,0.3497,0.2275,0.5048,0.2294
9744,0.7262,0.6841,0.7486,0.7489,0.7992,0.8281,0.8166,0.7806,0.7245,0.7936,0.907,0.8922,0.8648,0.7333,0.6292,0.7448,0.7128,0.6654,0.764,0.8385,0.6773,0.7247,0.6458,0.6347,0.9166,0.6366,0.7204,0.5491,0.5686,0.5429,0.578,0.4956,0.4765,0.5325,0.5048,0.5487,0.615,0.5485,0.498,0.6967,0.5488,0.6388,0.6727,0.6913,0.4773,0.5649,0.4773,0.7727,0.5404,0.542,0.5334,0.2871,0.3703,0.4293,0.4004,0.4085,0.4026,0.2226,0.3229,0.3588,0.5386,0.3939,0.5152,0.2153,0.4013,0.442,0.5134,0.3495,0.298,0.2387,0.4156,0.3165,0.267,0.5126,0.2385
